Causa de muerte,Sexo,Comunidades y Ciudades Autónomas,Edad,Periodo,Total
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 75 a 79 años,1990,9
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 75 a 79 años,1989,5
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 75 a 79 años,1988,9
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 75 a 79 años,1987,2
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 75 a 79 años,1986,6
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 75 a 79 años,1985,4
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 75 a 79 años,1984,5
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 75 a 79 años,1983,3
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 75 a 79 años,1982,1
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 75 a 79 años,1981,1
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 75 a 79 años,1980,2
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2023,11
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2022,8
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2021,5
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2020,9
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2019,11
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2018,5
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2017,5
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2016,18
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2015,13
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2014,8
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2013,10
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2012,15
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2011,9
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2010,11
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2009,12
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2008,9
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2007,10
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2006,14
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2005,13
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2004,6
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2003,13
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2002,16
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2001,10
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,2000,8
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1999,7
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1998,6
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1997,10
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1996,10
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1995,6
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1994,10
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1993,9
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1992,15
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1991,11
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1990,4
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1989,14
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1988,10
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1987,6
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1986,6
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1985,1
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1984,5
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1983,1
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1982,0
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1981,0
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 80 a 84 años,1980,1
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 85 a 89 años,2023,17
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 85 a 89 años,2022,20
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 85 a 89 años,2021,17
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 85 a 89 años,2020,18
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 85 a 89 años,2019,17
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 85 a 89 años,2018,19
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 85 a 89 años,2017,30
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 85 a 89 años,2016,28
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 85 a 89 años,2015,27
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 85 a 89 años,2014,27
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 85 a 89 años,2013,21
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 85 a 89 años,2012,29
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 85 a 89 años,2011,20
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 85 a 89 años,2010,17
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 85 a 89 años,2009,15
074-076  XIII.Enfermedades del sistema osteomuscular y del tejido conjuntivo,Total,"15 Navarra, Comunidad Foral de",De 85 a 89 años,2008,10
