Causa de muerte,Sexo,Comunidades y Ciudades Autónomas,Edad,Periodo,Total
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,2012,6
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,2011,5
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,2010,5
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,2009,4
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,2008,3
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,2007,3
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,2006,0
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,2005,2
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,2004,4
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,2003,3
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,2002,2
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,2001,3
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,2000,5
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,1999,1
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,1998,3
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,1997,6
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,1996,7
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,1995,5
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,1994,2
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,1993,5
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,1992,4
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,1991,1
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,1990,2
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,1989,2
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,1988,3
050-052  VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos,Mujeres,05 Canarias,De 30 a 39 años,1987,3
