Causa de muerte,Sexo,Comunidades y Ciudades Autónomas,Edad,Periodo,Total
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,2001,19
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,2000,19
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1999,23
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1998,19
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1997,17
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1996,15
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1995,13
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1994,24
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1993,21
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1992,19
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1991,25
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1990,23
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1989,16
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1988,18
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1987,13
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1986,13
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1985,14
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1984,23
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1983,17
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1982,27
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1981,20
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 55 a 59 años,1980,12
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 60 a 64 años,2023,40
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 60 a 64 años,2022,40
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 60 a 64 años,2021,46
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 60 a 64 años,2020,43
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 60 a 64 años,2019,37
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 60 a 64 años,2018,24
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 60 a 64 años,2017,27
"044-045  IV.Enfermedades endocrinas, nutricionales y metabólicas",Hombres,10 Comunitat Valenciana,De 60 a 64 años,2016,27
