index;Sexo;Comunidades y Ciudades Autónomas;Periodo;Edad;Total
85;Hombres;01 Andalucía;1985;95 y más años;0.0
86;Hombres;01 Andalucía;1985;De 1 a 14 años;853520.0
87;Hombres;01 Andalucía;1985;De 15 a 29 años;884762.0
88;Hombres;01 Andalucía;1985;De 30 a 39 años;398856.0
89;Hombres;01 Andalucía;1985;De 40 a 44 años;177935.0
90;Hombres;01 Andalucía;1985;De 45 a 49 años;165859.0
91;Hombres;01 Andalucía;1985;De 50 a 54 años;185615.0
92;Hombres;01 Andalucía;1985;De 55 a 59 años;169494.0
93;Hombres;01 Andalucía;1985;De 60 a 64 años;145129.0
94;Hombres;01 Andalucía;1985;De 65 a 69 años;100561.0
95;Hombres;01 Andalucía;1985;De 70 a 74 años;81135.0
96;Hombres;01 Andalucía;1985;De 75 a 79 años;57058.0
97;Hombres;01 Andalucía;1985;De 80 a 84 años;30760.0
98;Hombres;01 Andalucía;1985;De 85 a 89 años;13103.0
99;Hombres;01 Andalucía;1985;De 90 a 94 años;0.0
100;Hombres;01 Andalucía;1985;Menos de 1 año;49945.0
101;Hombres;01 Andalucía;1985;Todas las edades;3313731.0
102;Hombres;01 Andalucía;1986;95 y más años;0.0
103;Hombres;01 Andalucía;1986;De 1 a 14 años;840639.0
104;Hombres;01 Andalucía;1986;De 15 a 29 años;898729.0
105;Hombres;01 Andalucía;1986;De 30 a 39 años;410309.0
106;Hombres;01 Andalucía;1986;De 40 a 44 años;183550.0
107;Hombres;01 Andalucía;1986;De 45 a 49 años;157848.0
108;Hombres;01 Andalucía;1986;De 50 a 54 años;184356.0
109;Hombres;01 Andalucía;1986;De 55 a 59 años;173356.0
110;Hombres;01 Andalucía;1986;De 60 a 64 años;148247.0
111;Hombres;01 Andalucía;1986;De 65 a 69 años;107302.0
112;Hombres;01 Andalucía;1986;De 70 a 74 años;80049.0
113;Hombres;01 Andalucía;1986;De 75 a 79 años;58973.0
114;Hombres;01 Andalucía;1986;De 80 a 84 años;31113.0
115;Hombres;01 Andalucía;1986;De 85 a 89 años;14006.0
116;Hombres;01 Andalucía;1986;De 90 a 94 años;0.0
117;Hombres;01 Andalucía;1986;Menos de 1 año;48267.0
118;Hombres;01 Andalucía;1986;Todas las edades;3336746.0
119;Hombres;01 Andalucía;1987;95 y más años;0.0
120;Hombres;01 Andalucía;1987;De 1 a 14 años;825303.0
121;Hombres;01 Andalucía;1987;De 15 a 29 años;908305.0
122;Hombres;01 Andalucía;1987;De 30 a 39 años;422785.0
123;Hombres;01 Andalucía;1987;De 40 a 44 años;189972.0
124;Hombres;01 Andalucía;1987;De 45 a 49 años;156503.0
125;Hombres;01 Andalucía;1987;De 50 a 54 años;178603.0
126;Hombres;01 Andalucía;1987;De 55 a 59 años;178161.0
127;Hombres;01 Andalucía;1987;De 60 a 64 años;150129.0
128;Hombres;01 Andalucía;1987;De 65 a 69 años;114478.0
129;Hombres;01 Andalucía;1987;De 70 a 74 años;79828.0
130;Hombres;01 Andalucía;1987;De 75 a 79 años;59571.0
131;Hombres;01 Andalucía;1987;De 80 a 84 años;32144.0
132;Hombres;01 Andalucía;1987;De 85 a 89 años;15339.0
133;Hombres;01 Andalucía;1987;De 90 a 94 años;0.0
134;Hombres;01 Andalucía;1987;Menos de 1 año;47612.0
135;Hombres;01 Andalucía;1987;Todas las edades;3358732.0
136;Hombres;01 Andalucía;1988;95 y más años;0.0
137;Hombres;01 Andalucía;1988;De 1 a 14 años;809350.0
138;Hombres;01 Andalucía;1988;De 15 a 29 años;915881.0
139;Hombres;01 Andalucía;1988;De 30 a 39 años;433830.0
140;Hombres;01 Andalucía;1988;De 40 a 44 años;192821.0
141;Hombres;01 Andalucía;1988;De 45 a 49 años;165714.0
142;Hombres;01 Andalucía;1988;De 50 a 54 años;168560.0
143;Hombres;01 Andalucía;1988;De 55 a 59 años;181371.0
144;Hombres;01 Andalucía;1988;De 60 a 64 años;153226.0
145;Hombres;01 Andalucía;1988;De 65 a 69 años;121570.0
146;Hombres;01 Andalucía;1988;De 70 a 74 años;80328.0
147;Hombres;01 Andalucía;1988;De 75 a 79 años;60154.0
148;Hombres;01 Andalucía;1988;De 80 a 84 años;33022.0
149;Hombres;01 Andalucía;1988;De 85 a 89 años;16329.0
150;Hombres;01 Andalucía;1988;De 90 a 94 años;0.0
151;Hombres;01 Andalucía;1988;Menos de 1 año;46710.0
152;Hombres;01 Andalucía;1988;Todas las edades;3378864.0
153;Hombres;01 Andalucía;1989;95 y más años;0.0
154;Hombres;01 Andalucía;1989;De 1 a 14 años;791077.0
155;Hombres;01 Andalucía;1989;De 15 a 29 años;924335.0
156;Hombres;01 Andalucía;1989;De 30 a 39 años;446886.0
157;Hombres;01 Andalucía;1989;De 40 a 44 años;195118.0
158;Hombres;01 Andalucía;1989;De 45 a 49 años;174691.0
159;Hombres;01 Andalucía;1989;De 50 a 54 años;160596.0
160;Hombres;01 Andalucía;1989;De 55 a 59 años;180225.0
161;Hombres;01 Andalucía;1989;De 60 a 64 años;156572.0
162;Hombres;01 Andalucía;1989;De 65 a 69 años;128174.0
163;Hombres;01 Andalucía;1989;De 70 a 74 años;81459.0
164;Hombres;01 Andalucía;1989;De 75 a 79 años;61046.0
165;Hombres;01 Andalucía;1989;De 80 a 84 años;34007.0
166;Hombres;01 Andalucía;1989;De 85 a 89 años;17019.0
167;Hombres;01 Andalucía;1989;De 90 a 94 años;0.0
168;Hombres;01 Andalucía;1989;Menos de 1 año;45950.0
169;Hombres;01 Andalucía;1989;Todas las edades;3397151.0
170;Hombres;01 Andalucía;1990;95 y más años;0.0
171;Hombres;01 Andalucía;1990;De 1 a 14 años;770470.0
172;Hombres;01 Andalucía;1990;De 15 a 29 años;932129.0
173;Hombres;01 Andalucía;1990;De 30 a 39 años;464726.0
174;Hombres;01 Andalucía;1990;De 40 a 44 años;191608.0
175;Hombres;01 Andalucía;1990;De 45 a 49 años;176861.0
176;Hombres;01 Andalucía;1990;De 50 a 54 años;161729.0
177;Hombres;01 Andalucía;1990;De 55 a 59 años;178701.0
178;Hombres;01 Andalucía;1990;De 60 a 64 años;160611.0
179;Hombres;01 Andalucía;1990;De 65 a 69 años;132158.0
180;Hombres;01 Andalucía;1990;De 70 a 74 años;85752.0
181;Hombres;01 Andalucía;1990;De 75 a 79 años;60723.0
182;Hombres;01 Andalucía;1990;De 80 a 84 años;35092.0
183;Hombres;01 Andalucía;1990;De 85 a 89 años;18143.0
184;Hombres;01 Andalucía;1990;De 90 a 94 años;0.0
185;Hombres;01 Andalucía;1990;Menos de 1 año;46088.0
