Causa de muerte,Sexo,Comunidades y Ciudades Autónomas,Edad,Periodo,Total
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,2012,1
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,2011,1
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,2010,1
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,2009,1
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,2008,0
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,2007,1
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,2006,3
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,2005,1
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,2004,2
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,2003,3
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,2002,4
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,2001,3
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,2000,2
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,1999,3
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,1998,1
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,1997,0
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,1996,0
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,1995,1
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,1994,0
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,1993,1
"083-085  XVII.Malformaciones congénitas, deformidades y anomalías cromosómicas",Mujeres,05 Canarias,De 30 a 39 años,1992,2
