Causa de muerte,Sexo,Comunidades y Ciudades Autónomas,Edad,Periodo,Total
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,1995,15
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,1994,9
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,1993,14
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,1992,23
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,1991,22
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,1990,31
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,1989,48
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,1988,53
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,1987,57
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,1986,42
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,1985,43
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,1984,50
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,1983,50
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,1982,58
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,1981,70
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,1980,76
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2023,7
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2022,17
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2021,3
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2020,12
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2019,12
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2018,15
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2017,12
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2016,3
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2015,12
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2014,14
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2013,8
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2012,16
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2011,12
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2010,17
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2009,12
